0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
-1.5684271,-0.5047506,3.6591196,2.7264028,0.4942699,-1.738922,3.1299596,-2.8201926,-2.8232584,-0.8715304,1.6190524,1.7808859,-2.9329374,2.4132323,2.1338663,2.6093714,0.47774732,-1.2835729,1.399281,3.9777122,0.21250981,1.3145965,-3.592636,-1.5896649,2.206152,-1.3581262,2.6816735,3.9865038,1.258383,-0.71669805
0.73235667,-1.3055286,1.8626955,1.4945265,1.5561798,-1.8153687,-0.1065191,-2.1004887,-0.70632756,-0.5855187,1.3833549,0.5230316,-1.4212635,1.4250263,1.5674074,1.8137342,-1.8099968,-2.0146594,2.010186,0.67583275,1.8547721,0.4080752,-1.1977456,2.6001987,1.6258304,-1.3800901,0.07109801,0.12698257,-0.020139813,1.2801901
1.6552128,-2.317715,1.0642756,2.1856241,2.530876,-2.3539145,-4.282261,-1.0044423,-1.7974086,3.9388704,2.545443,2.7707126,-1.8630441,2.8880336,2.2415004,0.8162539,-0.8687012,-1.6785223,1.2861602,1.5035021,0.37837213,2.2135677,-3.0837083,-1.4483011,2.0960534,-3.6064878,1.5848801,2.4880776,3.3879056,2.8776827
0.27953148,-0.55009973,1.7645507,1.1249392,1.2022022,-1.9732525,1.6459235,-2.4256816,-2.6362119,-0.025982663,3.2076037,2.665392,-2.8635855,1.7306248,2.1235101,0.040730402,0.38436937,0.3699024,2.5180807,3.477917,0.8010141,1.4951688,-2.1537354,-2.0165148,0.2783753,-1.5320925,2.2831922,3.303349,2.8302763,-0.34552008
1.1120812,-1.3581524,0.20474201,1.0442902,1.3225683,-1.2670398,-1.8469541,-1.2281532,-1.9225904,2.2808888,1.5813415,1.9993882,-1.6507788,1.6523539,2.0405154,-0.34824717,-0.37458062,-0.18624942,1.2449012,0.7008771,-0.07987122,2.1450663,-1.442085,-0.83864975,1.2956343,-1.88661,1.0198648,1.6499802,2.5647812,2.3308918
1.6601527,-2.3751998,1.3628107,2.4287438,2.8716955,-2.3879228,-4.893242,-0.9856068,-1.9756982,4.538121,2.8070617,2.935401,-2.016684,3.1688442,2.245809,1.1278937,-1.0156775,-2.1880188,1.309171,1.6114917,0.4770139,2.2864296,-3.4613025,-1.6059825,2.2694154,-4.035841,1.8322582,2.772872,3.6000896,2.9881082
-1.0098066,-0.67506754,2.5690994,2.2796764,1.1342027,-1.7694271,2.7527332,-2.5934098,-2.972835,-0.27269477,2.6999793,2.525373,-3.0006206,2.0420914,2.3845325,1.4533747,0.7514909,-0.45208552,1.6788638,4.1379747,0.2997096,1.4475158,-2.9650362,-2.1110723,1.5349901,-1.5969123,2.6313825,3.9276462,2.2625694,-0.27785075
1.400465,-2.0581903,1.1274177,2.0863714,2.3833816,-2.1291463,-4.2411804,-0.869727,-1.7424313,3.8399749,2.3336587,2.5964398,-1.7286842,2.7975488,1.9676237,0.78940964,-0.8902229,-1.8058681,1.0813682,1.4177773,0.3916759,2.065042,-2.9207778,-1.346439,1.910811,-3.3583708,1.532539,2.311439,3.1335082,2.5858545
0.8328187,-1.1754628,-0.13726424,0.9493028,1.0026425,-0.88068485,-1.1165955,-1.4098575,-1.573173,1.9231856,1.2536955,1.4370321,-1.3394098,1.199734,1.7426212,-0.17993028,-0.62264156,-0.5562977,1.1650729,0.5510104,0.34794858,1.6360587,-1.0520468,-0.3428804,1.3575537,-1.4247435,0.6868482,1.0388843,1.5145714,2.1686962
-1.351512,-0.3010214,3.6859372,2.6568913,0.53888106,-1.5822544,2.583578,-2.3987477,-2.9591503,-0.7190002,1.3444575,1.7965565,-2.9157288,2.2167475,1.514895,2.7032738,0.76754487,-1.1503363,1.0159562,3.9874868,0.15900052,1.4641399,-3.6035938,-2.0458682,1.838497,-1.6531844,2.765843,3.9615033,1.5794938,-0.6922058
