0,1,2,3,4,5,6,7,8,9
-6.084162,5.3872185,-2.090482,-3.990038,-6.0972376,2.4111142,-2.5792284,-3.7922618,3.4653265,-3.8180041
-5.9018273,5.2558837,-2.7282596,-3.8349779,-6.55399,2.004912,-2.0238929,-3.9801762,4.3825316,-4.0574865
-4.6973453,4.354268,-0.598104,-3.168879,-4.227614,2.837646,-2.8872228,-2.3759727,1.8128462,-2.1427207
-4.521301,4.5832615,-2.8968616,-3.1393075,-5.4425626,1.5664809,-1.7144319,-3.4807003,4.735889,-3.2664452
-5.66845,4.835952,-2.1618662,-3.5467932,-5.9200673,2.188179,-2.3994312,-3.7418647,4.084203,-3.8767266
0.21706066,4.3494296,-6.8836436,-5.652457,-3.189849,4.2665887,-5.5814347,-5.5261407,-2.648595,-3.884233
0.9492564,4.730292,-7.186916,-5.3824415,-3.184875,4.0043983,-5.9473333,-5.0716558,-2.3361332,-4.4811807
1.688308,5.093254,-5.1761804,-2.2940013,-2.9301472,1.2001917,-4.06784,-1.2694191,3.5733576,-1.9050809
-5.666801,5.475343,-2.3558664,-3.8306,-6.0182886,2.178134,-2.309897,-3.9064574,4.489769,-3.7833424
-0.061964784,3.7943845,-5.926087,-6.781924,-3.953071,5.530079,-5.2972927,-4.714971,-2.2664526,-1.1950253
-5.302242,4.6213946,-0.8439926,-3.9391913,-4.9010015,3.121236,-3.401092,-2.6498406,1.7689195,-2.2181702
-5.4953947,5.1040354,-2.7919846,-3.5078814,-6.147496,2.0509117,-1.9049962,-3.9817035,4.848255,-3.870923
0.0064762942,3.770356,-6.1586385,-5.9036703,-3.1752977,4.44505,-5.3799767,-5.1076045,-2.2901127,-2.7826333
-5.90537,5.3804574,-2.673715,-3.5277586,-6.3365874,1.9760833,-2.0044365,-4.146567,4.5034027,-4.112612
-4.045714,4.204738,-0.8401554,-2.6146665,-4.2909975,2.072814,-2.5209165,-2.4698164,2.5348897,-2.2530851
0.7434982,4.224594,-6.9189906,-5.110485,-3.1983533,3.912273,-5.084687,-5.024961,-2.3902845,-4.2807736
0.59259623,4.9158077,-7.66493,-5.7443686,-3.4823048,4.451691,-6.042971,-6.0153003,-2.7757802,-4.7554436
0.4630595,3.6615329,-2.4929519,-1.8463057,-1.7409146,1.0609447,-3.3065138,-0.5111958,2.7444487,-0.4809639
0.44992587,4.8205338,-7.104901,-5.345542,-3.0164745,4.083466,-6.000561,-5.4970145,-2.7488008,-4.630461
-5.7065,4.97317,-2.2522068,-3.6369176,-5.978415,1.9414085,-2.1089313,-3.6711338,3.7527134,-3.5771418
-2.270146,5.0895915,-1.147294,-4.052142,-3.4923463,3.5539138,-5.77191,-1.3796824,2.9252028,0.15492228
-4.4668865,4.7247524,-1.0900301,-3.0243897,-4.538468,2.2857184,-2.3375685,-2.8600135,2.8668275,-2.8808002
-4.8591504,4.599838,-0.7885469,-3.2649465,-4.339985,2.5778496,-3.4215896,-2.574735,2.3428833,-2.2466455
0.9069828,5.1626086,-7.822316,-5.553696,-3.560855,4.3178487,-5.983854,-5.762483,-2.830421,-4.9110384
0.61803484,4.1927514,-6.761449,-5.0856953,-3.167029,4.038689,-5.547611,-5.0579844,-2.3702297,-4.0538116
0.6374962,4.28723,-3.1815243,-2.029804,-2.3513982,0.991349,-3.7857559,-0.57745326,3.433181,-0.5772289
-0.62539023,3.2406363,-4.0938272,-5.233293,-3.4793525,4.5340734,-4.1299067,-3.2039874,-1.3770249,-0.1858244
-3.2361364,3.3016977,-0.5607525,-2.1398816,-3.2482505,1.9313021,-2.5473566,-1.8833323,2.7934477,-1.831979
0.25713634,4.1216946,-2.6678035,-2.4716082,-2.0137625,1.6931894,-4.1396084,-0.33183256,2.8265946,0.03008382
-0.16162835,3.24869,-5.7266054,-4.7427483,-6.285754,3.4106956,-1.0175458,-2.1411715,2.927933,0.1788826
-5.5165844,4.9134355,-2.3097274,-3.5523875,-5.960685,1.9867476,-2.0115585,-3.697026,4.0337834,-3.5293298
-4.8454604,4.665651,-2.2089934,-3.0770717,-5.339063,1.5344634,-1.9562421,-3.5391731,4.185974,-3.416532
-0.03770301,3.5553513,-5.393045,-6.1258845,-3.2048805,4.9361005,-5.2925296,-4.171485,-1.7309461,-1.8297472
0.7343476,3.9176598,-5.238446,-5.081036,-2.1886868,3.5420094,-5.1497703,-3.651788,-1.372279,-1.8531193
0.82000226,4.754076,-7.362353,-5.0060544,-3.237002,4.00792,-5.664706,-5.423304,-2.5436924,-4.7703824
-0.10691172,3.5082164,-5.3272796,-5.979068,-2.8626652,4.665852,-5.055568,-4.2604184,-1.5971293,-1.5358776
0.5018047,3.8957033,-2.6408768,-2.0458994,-2.2280009,1.0779684,-3.748,-0.49627846,3.1422791,-0.13973412
-2.05008,3.8157115,-1.1152313,-2.1444242,-2.9098372,1.7014935,-3.116352,-1.5146867,3.1885366,-1.1912729
-5.0183296,4.309982,-0.96447444,-2.9329123,-4.463439,2.275536,-2.4266038,-2.8181286,2.2729478,-2.7415438
-5.772663,5.254055,-2.534043,-3.678341,-6.0211453,2.1115925,-2.325227,-3.8208065,4.517029,-3.9298944
-5.7709637,5.0049396,-2.4904308,-3.88976,-6.2492523,2.1589694,-2.1825433,-3.4812624,3.5668552,-3.4812655
-5.624616,5.0275993,-2.4922056,-3.7886672,-6.1372657,1.8340296,-2.1626306,-3.9917786,4.459948,-3.867454
1.233085,4.89266,-7.825234,-5.2066326,-3.3810766,3.9462333,-5.711644,-5.085756,-2.223654,-4.645423
-5.1858582,4.891966,-2.2167354,-3.2731626,-5.630423,1.8984346,-2.1275816,-3.534341,4.0849323,-3.3840485
-2.9336376,3.375823,-0.9615083,-1.7326678,-3.075443,1.1481857,-1.7954929,-2.3184907,2.9410093,-1.9666238
0.4251261,4.2185755,-6.7228646,-5.388259,-3.1481109,4.0918255,-5.487821,-5.2035694,-2.4747689,-4.11598
-0.5824094,3.4315162,-1.9492149,-1.6900599,-2.2699769,0.8693049,-2.605328,-0.9348303,3.1090488,-0.65661925
-5.293777,5.0418067,-1.797889,-3.398557,-5.647352,2.0952578,-2.2902162,-3.3428042,3.415394,-3.320788
-2.9548497,3.7950487,-0.6592403,-2.4465668,-3.1268692,2.051382,-3.0647721,-1.7249786,2.7971127,-1.3807081
0.57776725,4.2521214,-3.2715116,-2.13449,-2.1331449,1.2520243,-3.9545686,-0.7289968,3.2941878,-0.8402494
-5.09498,4.6624303,-1.065411,-2.8070052,-4.544726,1.9527403,-2.5798073,-3.0183108,2.5619504,-2.9897156
