0,1,2,3,4,5,6,7,8,9
-0.5256663,1.8423488,2.1519294,-3.7465289,2.6460588,3.6774585,1.7963779,2.7268145,4.2842407,-4.7740407
4.8790774,4.992943,4.137446,-2.3909166,2.6451743,3.574433,0.78575385,6.010814,-0.42556873,-2.0084944
4.8704457,5.557012,4.3702283,-2.5364878,2.9690418,3.805173,0.9143872,6.3575025,-0.82166547,-1.784995
-0.51127905,3.4247243,4.096702,-3.2702928,3.534042,1.9879662,4.1411357,0.5238151,-0.06662872,-0.7891151
-0.40453333,1.82004,1.9738432,-3.684533,2.5146637,3.5801933,1.9017828,2.7875476,4.086258,-4.527127
3.5825832,3.0182707,3.2024536,-1.7625173,0.99439716,2.3525493,0.4895143,3.9333045,0.78350013,-2.154999
0.7777455,1.1706437,2.7588487,-2.2499888,1.2498108,2.4578683,1.9620361,2.2771602,3.6064095,-3.2496083
-0.48583502,2.0039828,1.817803,-3.97949,2.7031202,3.7477925,1.9306457,2.8145804,4.1572547,-4.57642
4.1472783,4.2905245,3.714521,-2.1629415,2.0650206,2.8765855,0.68303335,5.069618,0.039991833,-1.9611487
-0.39209348,1.6783005,1.7711265,-3.171034,2.2341785,3.2040422,1.6728362,2.4631872,3.5250318,-4.1473384
0.2626143,1.4502573,2.6660426,-2.2584035,1.5747235,1.8633597,2.5593567,1.7546701,3.2337103,-2.7575614
4.7332253,5.3475094,4.1310287,-2.4236267,2.730525,3.637556,0.75343,5.9941783,-0.6854376,-1.712164
5.0940824,5.4636803,4.2935157,-2.4765365,2.951383,3.828871,0.7711336,6.333512,-0.7480795,-1.8114058
-0.521727,2.941262,3.9609697,-2.951636,3.1461675,1.6468166,4.0928006,0.36672002,0.92916924,-1.3681822
5.48302,6.0657682,4.936987,-2.642267,3.5111742,4.2905893,1.1185368,7.1777062,-0.91982156,-2.0883658
-0.16874796,1.8221357,2.1435475,-3.6723764,2.4162326,3.7325516,2.0069363,2.9092803,4.231242,-4.7158837
0.9111546,1.6671658,4.5051546,-2.1462767,1.5051887,1.3418493,3.1845193,1.1736798,3.2250535,-2.0701196
0.3549549,1.3838404,2.460779,-2.6531613,1.5958246,2.5561254,2.2052824,2.2592764,3.6713886,-3.4017565
0.7404161,1.2245203,2.859087,-2.3013346,1.3778054,2.217158,2.2321954,2.055318,3.5063436,-3.2484505
5.183371,5.732563,4.4528933,-2.548127,3.0561557,3.976384,0.7739806,6.534108,-0.972056,-1.6666344
4.803933,5.2756233,4.170307,-2.3768957,2.8237753,3.5904386,0.8832356,6.071783,-0.68088454,-1.7623918
-0.73061186,3.2637653,4.4372244,-3.439449,3.5804057,1.7537696,4.603023,0.261102,0.8772418,-1.4113199
3.192555,2.587959,2.9837906,-1.57066,0.9517919,2.1935203,0.4761073,3.3856788,1.0227925,-2.1726267
